Username,Comment,Comment_Date,Likes,Comment_Length,Has_Typo,Slang_Presence,Sentiment,Comment_DayOfWeek,Comment_Month,Comment_Season,Words_per_Comment,Avg_Word_Length,Engagement_rate,Sentiment_Score,Sentiment_Score_Noisy
williamsonbrett,Absolutley furious about the customer sevrice!,2024-03-20,297,6,0,0,Angry,Wednesday,March,Spring,6,6.833333333333333,49.5,-2.0,-2.0
seth67,Cna't believe howb ad the customer care was.,2024-12-04,152,8,0,0,Angry,Wednesday,December,Winter,8,4.625,19.0,-2.0,-2.0
stephenbrown,I am extremelya hppy with the order tracking.,2024-06-25,33,8,0,0,Happy,Tuesday,June,Summer,8,4.75,4.125,1.0,1.0
aaronthompson,I am etxermely happy with the support team.,2024-07-01,466,8,0,0,Happy,Monday,July,Summer,8,4.5,58.25,1.0,1.0
myerswendy,Not what I expected from customer acre.,2025-03-24,445,7,0,0,Sad,Monday,March,Spring,7,4.714285714285714,63.57142857142857,-1.0,-1.0
polson,I fee lsad about the response time.,2024-12-08,306,7,0,0,Sad,Sunday,December,Winter,7,4.142857142857143,43.71428571428572,-1.0,-1.0
xfisher,Exceptional app usability epxerience.,2025-04-15,30,4,0,0,Happy,Tuesday,April,Spring,4,8.5,7.5,1.0,1.0
starkaaron,Im a extremely happy with the support team.,2023-08-25,438,8,0,0,Happy,Friday,August,Rainy,8,4.5,54.75,1.0,1.0
fesparza,A neurtal feeilng towards the customer care.,2024-08-04,456,7,1,0,Neutral,Sunday,August,Rainy,7,5.428571428571429,65.14285714285714,0.0,0.0
brianhall,Terribl ereturn policy handling.,2023-07-16,135,4,1,0,Angry,Sunday,July,Summer,4,7.25,33.75,-2.0,-2.0
hannah69,Absolutely furious about the tecnhicals upport!,2024-05-16,360,6,1,0,Angry,Thursday,May,Summer,6,7.0,60.0,-2.0,-2.0
daisy94,Vrey upsetting website navigation epxerience.,2024-09-22,93,5,0,0,Sad,Sunday,September,Rainy,5,8.2,18.6,-1.0,-1.0
vhansen,I'm quite plaesed with the customer serviec.,2024-05-08,424,7,0,0,Pleased,Wednesday,May,Summer,7,5.428571428571429,60.57142857142857,,
rileynicole,Regretful experience regarding ordre trackin.g,2024-09-15,340,5,0,0,Sad,Sunday,September,Rainy,5,8.4,68.0,-1.0,-1.0
