Username,Comment,Comment_Date,Likes,Comment_Length,Has_Typo,Slang_Presence,Sentiment,Comment_DayOfWeek,Comment_Month,Comment_Season,Words_per_Comment,Avg_Word_Length,Engagement_rate,Sentiment_Score
williamsonbrett,Absolutely furious about the customer service!,2024-03-20,297,6,0,0,Angry,Wednesday,March,Spring,6,6.833333333333333,49.5,-2.0
seth67,Can't believe how bad the customer care was.,2024-12-04,152,8,0,0,Angry,Wednesday,December,Winter,8,4.625,19.0,-2.0
stephenbrown,I am extremely happy with the order tracking.,2024-06-25,33,8,0,0,Happy,Tuesday,June,Summer,8,4.75,4.125,1.0
aaronthompson,I am extremely happy with the support team.,2024-07-01,466,8,0,0,Happy,Monday,July,Summer,8,4.5,58.25,1.0
myerswendy,Not what I expected from customer care.,2025-03-24,445,7,0,0,Sad,Monday,March,Spring,7,4.714285714285714,63.57142857142857,-1.0
polson,I feel sad about the response time.,2024-12-08,306,7,0,0,Sad,Sunday,December,Winter,7,4.142857142857143,43.714285714285715,-1.0
xfisher,Exceptional app usability experience.,2025-04-15,30,4,0,0,Happy,Tuesday,April,Spring,4,8.5,7.5,1.0
starkaaron,I am extremely happy with the support team.,2023-08-25,438,8,0,0,Happy,Friday,August,Rainy,8,4.5,54.75,1.0
fesparza,A neutral feeling towards the customer care.,2024-08-04,456,7,1,0,Neutral,Sunday,August,Rainy,7,5.428571428571429,65.14285714285714,0.0
brianhall,Terrible return policy handling.,2023-07-16,135,4,1,0,Angry,Sunday,July,Summer,4,7.25,33.75,-2.0
hannah69,Absolutely furious about the technical support!,2024-05-16,360,6,1,0,Angry,Thursday,May,Summer,6,7.0,60.0,-2.0
daisy94,Very upsetting website navigation experience.,2024-09-22,93,5,0,0,Sad,Sunday,September,Rainy,5,8.2,18.6,-1.0
vhansen,I'm quite pleased with the customer service.,2024-05-08,424,7,0,0,Pleased,Wednesday,May,Summer,7,5.428571428571429,60.57142857142857,
rileynicole,Regretful experience regarding order tracking.,2024-09-15,340,5,0,0,Sad,Sunday,September,Rainy,5,8.4,68.0,-1.0
robert79,Neither good nor bad about product quality.,2023-11-15,262,7,0,0,Neutral,Wednesday,November,Fall,7,5.285714285714286,37.42857142857143,0.0
curtis41,The delivery experience met my expectations.,2023-08-03,312,6,0,0,Pleased,Thursday,August,Rainy,6,6.5,52.0,
davisdonald,"The order tracking was okay, nothing special.",2024-11-14,102,7,0,0,Neutral,Thursday,November,Fall,7,5.571428571428571,14.571428571428571,0.0
udyer,Worst response time ever.,2024-11-21,337,4,0,0,Angry,Thursday,November,Fall,4,5.5,84.25,-2.0
porterthomas,The billing issues met my expectations.,2024-08-03,25,6,0,0,Pleased,Saturday,August,Rainy,6,5.666666666666667,4.166666666666667,
mathewsmith,Overall pleased with the technical support.,2023-04-29,67,6,0,0,Pleased,Saturday,April,Spring,6,6.333333333333333,11.166666666666666,
mwilliams,Neither good nor bad about pricing.,2023-10-13,209,6,0,0,Neutral,Friday,October,Rainy,6,5.0,34.833333333333336,0.0
ogarza,Not what I expected from payment process.,2025-01-14,424,7,0,0,Sad,Tuesday,January,Winter,7,5.0,60.57142857142857,-1.0
ylove,Nice job on the delivery experience!,2023-11-08,143,6,0,0,Pleased,Wednesday,November,Fall,6,5.166666666666667,23.833333333333332,
pamela33,I feel sad about the support team.,2024-09-09,184,7,0,0,Sad,Monday,September,Rainy,7,4.0,26.285714285714285,-1.0
psolomon,Not what I expected from delivery experience.,2025-04-27,204,7,0,0,Sad,Sunday,April,Spring,7,5.571428571428571,29.142857142857142,-1.0
cole43,Regretful experience regarding website navigation.,2023-06-11,359,5,0,0,Sad,Sunday,June,Summer,5,9.2,71.8,-1.0
tammy02,Exceptional customer care experience.,2024-07-07,299,4,0,0,Happy,Sunday,July,Summer,4,8.5,74.75,1.0
ebonyreed,Can't believe how bad the product availability was.,2023-12-03,479,8,0,0,Angry,Sunday,December,Winter,8,5.5,59.875,-2.0
bjones,Regretful experience regarding product availability.,2024-07-04,495,5,0,0,Sad,Thursday,July,Summer,5,9.6,99.0,-1.0
derek80,Average experience with the pricing.,2025-01-02,493,5,0,0,Neutral,Thursday,January,Winter,5,6.4,98.6,0.0
ashley01,I am extremely happy with the delivery experience.,2023-08-24,233,8,0,0,Happy,Thursday,August,Rainy,8,5.375,29.125,1.0
danielhorton,Exceptional product availability experience.,2024-10-26,193,4,0,0,Happy,Saturday,October,Rainy,4,10.25,48.25,1.0
paulhowe,Not what I expected from website navigation.,2024-08-28,144,7,0,0,Sad,Wednesday,August,Rainy,7,5.428571428571429,20.571428571428573,-1.0
natasha74,Can't believe how bad the billing issues was.,2024-11-03,383,8,0,0,Angry,Sunday,November,Fall,8,4.75,47.875,-2.0
christopher85,Nice job on the technical support!,2024-10-30,17,6,0,0,Pleased,Wednesday,October,Rainy,6,4.833333333333333,2.8333333333333335,
david80,Overall pleased with the payment process.,2024-10-03,176,6,0,0,Pleased,Thursday,October,Rainy,6,6.0,29.333333333333332,
sharonpowers,Exceptional order tracking experience.,2023-05-12,495,4,0,0,Happy,Friday,May,Summer,4,8.75,123.75,1.0
bcallahan,Really angry with the technical support.,2024-11-12,94,6,0,0,Angry,Tuesday,November,Fall,6,5.833333333333333,15.666666666666666,-2.0
manuelkaiser,I am extremely happy with the customer care.,2023-07-18,336,8,0,0,Happy,Tuesday,July,Summer,8,4.625,42.0,1.0
joseph57,Wonderful experience regarding payment process.,2023-06-04,32,5,0,1,Happy,Sunday,June,Summer,5,8.6,6.4,1.0
ericdickson,Loved the return policy!,2024-09-29,369,4,0,0,Happy,Sunday,September,Rainy,4,5.25,92.25,1.0
palmercharlene,Wonderful experience regarding billing issues.,2023-11-06,146,5,0,0,Happy,Monday,November,Fall,5,8.4,29.2,1.0
garrettandrew,Loved the billing issues!,2024-07-03,414,4,0,1,Happy,Wednesday,July,Summer,4,5.5,103.5,1.0
sboyd,I'm quite pleased with the product availability.,2024-12-24,238,7,0,0,Pleased,Tuesday,December,Winter,7,6.0,34.0,
danielhancock,Average experience with the response time.,2024-08-22,374,6,0,0,Neutral,Thursday,August,Rainy,6,6.166666666666667,62.333333333333336,0.0
maxwellbryan,Nice job on the payment process!,2023-08-29,463,6,0,0,Pleased,Tuesday,August,Rainy,6,4.5,77.16666666666667,
paulsalazar,Very upsetting technical support experience.,2025-04-20,301,5,0,0,Sad,Sunday,April,Spring,5,8.0,60.2,-1.0
morenodonna,Wonderful experience regarding response time.,2023-05-10,295,5,0,0,Happy,Wednesday,May,Summer,5,8.2,59.0,1.0
josephandrews,Overall pleased with the order tracking.,2024-05-23,137,6,1,0,Pleased,Thursday,May,Summer,6,5.833333333333333,22.833333333333332,
dthompson,I'm disappointed with the response time.,2024-11-29,151,6,0,0,Sad,Friday,November,Fall,6,5.833333333333333,25.166666666666668,-1.0
jacobmccarty,Nice job on the payment process!,2024-06-07,445,6,0,0,Pleased,Friday,June,Summer,6,4.5,74.16666666666667,
robert17,Nice job on the return policy!,2025-03-17,115,6,0,0,Pleased,Monday,March,Spring,6,4.166666666666667,19.166666666666668,
charlesmeredith,Neither good nor bad about support team.,2023-05-08,71,7,0,0,Neutral,Monday,May,Summer,7,4.857142857142857,10.142857142857142,0.0
alexanderbryant,Not what I expected from delivery experience.,2024-03-26,323,7,0,0,Sad,Tuesday,March,Spring,7,5.571428571428571,46.142857142857146,-1.0
latoyafrank,Not what I expected from product availability.,2024-05-08,313,7,0,0,Sad,Wednesday,May,Summer,7,5.714285714285714,44.714285714285715,-1.0
gary73,Regretful experience regarding customer care.,2025-04-18,236,5,0,1,Sad,Friday,April,Spring,5,8.2,47.2,-1.0
lynn02,Very satisfied with the order tracking!,2024-02-01,20,6,0,0,Happy,Thursday,February,Winter,6,5.666666666666667,3.3333333333333335,1.0
vwagner,Exceptional customer service experience.,2025-04-22,301,4,0,0,Happy,Tuesday,April,Spring,4,9.25,75.25,1.0
larry98,Really angry with the customer care.,2024-01-05,311,6,1,0,Angry,Friday,January,Winter,6,5.166666666666667,51.833333333333336,-2.0
alexanderdaniels,The customer care was satisfactory.,2023-12-21,233,5,0,0,Neutral,Thursday,December,Winter,5,6.2,46.6,0.0
crystaljimenez,"The support team was okay, nothing special.",2023-10-28,296,7,0,0,Neutral,Saturday,October,Rainy,7,5.285714285714286,42.285714285714285,0.0
stephen97,Very satisfied with the support team!,2024-09-23,244,6,1,0,Happy,Monday,September,Rainy,6,5.333333333333333,40.666666666666664,1.0
kbond,Really angry with the customer care.,2023-10-15,184,6,0,0,Angry,Sunday,October,Rainy,6,5.166666666666667,30.666666666666668,-2.0
pamelabell,The product availability met my expectations.,2024-02-10,361,6,0,0,Pleased,Saturday,February,Winter,6,6.666666666666667,60.166666666666664,
vsimon,Absolutely furious about the billing issues!,2024-04-14,317,6,0,0,Angry,Sunday,April,Spring,6,6.5,52.833333333333336,-2.0
rebecca95,Average experience with the pricing.,2023-10-25,18,5,0,0,Neutral,Wednesday,October,Rainy,5,6.4,3.6,0.0
krausesarah,Really angry with the order tracking.,2023-05-16,439,6,0,0,Angry,Tuesday,May,Summer,6,5.333333333333333,73.16666666666667,-2.0
daisyreeves,Terrible support team handling.,2023-10-01,249,4,0,0,Angry,Sunday,October,Rainy,4,7.0,62.25,-2.0
